Date;Visiteurs presents
01/01/2015;0
02/01/2015;0
03/01/2015;0
04/01/2015;0
05/01/2015;0
06/01/2015;0
07/01/2015;0
08/01/2015;0
09/01/2015;0
10/01/2015;0
11/01/2015;0
12/01/2015;0
13/01/2015;0
14/01/2015;0
15/01/2015;0
16/01/2015;0
17/01/2015;0
18/01/2015;0
19/01/2015;0
20/01/2015;0
21/01/2015;0
22/01/2015;0
23/01/2015;0
24/01/2015;0
25/01/2015;0
26/01/2015;0
27/01/2015;0
28/01/2015;0
29/01/2015;0
30/01/2015;0
31/01/2015;0
01/02/2015;0
02/02/2015;0
03/02/2015;0
04/02/2015;0
05/02/2015;0
06/02/2015;0
07/02/2015;0
08/02/2015;0
09/02/2015;0
10/02/2015;0
11/02/2015;0
12/02/2015;0
13/02/2015;0
14/02/2015;0
15/02/2015;0
16/02/2015;0
17/02/2015;0
18/02/2015;0
19/02/2015;0
20/02/2015;0
21/02/2015;0
22/02/2015;0
23/02/2015;0
24/02/2015;0
25/02/2015;0
26/02/2015;0
27/02/2015;0
28/02/2015;0
01/03/2015;0
02/03/2015;0
03/03/2015;0
04/03/2015;0
05/03/2015;0
06/03/2015;0
07/03/2015;0
08/03/2015;0
09/03/2015;0
10/03/2015;0
11/03/2015;0
12/03/2015;0
13/03/2015;0
14/03/2015;0
15/03/2015;0
16/03/2015;0
17/03/2015;0
18/03/2015;0
19/03/2015;0
20/03/2015;0
21/03/2015;0
22/03/2015;0
23/03/2015;0
24/03/2015;0
25/03/2015;0
26/03/2015;0
27/03/2015;0
28/03/2015;0
29/03/2015;0
30/03/2015;0
31/03/2015;0
01/04/2015;0
02/04/2015;0
03/04/2015;0
04/04/2015;0
05/04/2015;0
06/04/2015;0
07/04/2015;0
08/04/2015;0
09/04/2015;0
10/04/2015;0
11/04/2015;0
12/04/2015;0
13/04/2015;0
14/04/2015;0
15/04/2015;0
16/04/2015;0
17/04/2015;0
18/04/2015;0
19/04/2015;0
20/04/2015;0
21/04/2015;0
22/04/2015;0
23/04/2015;0
24/04/2015;0
25/04/2015;0
26/04/2015;0
27/04/2015;0
28/04/2015;0
29/04/2015;0
30/04/2015;0
01/05/2015;0
02/05/2015;0
03/05/2015;0
04/05/2015;0
05/05/2015;0
06/05/2015;0
07/05/2015;0
08/05/2015;0
09/05/2015;0
10/05/2015;0
11/05/2015;0
12/05/2015;0
13/05/2015;43.3333
14/05/2015;43.3333
15/05/2015;44.0476
16/05/2015;84.5238
17/05/2015;84.6154
18/05/2015;0
19/05/2015;44.2857
20/05/2015;41
21/05/2015;34
22/05/2015;37.5
23/05/2015;51.875
24/05/2015;0
25/05/2015;0
26/05/2015;43
27/05/2015;41
28/05/2015;25
29/05/2015;37.5
30/05/2015;49.6429
31/05/2015;60.7143
01/06/2015;0
02/06/2015;43
03/06/2015;41
04/06/2015;32.75
05/06/2015;37.5
